"Date","Price","Open","High","Low","Vol.","Change %"
"30-06-2019","102.13","103.32","104.92","101.42","74.21M","-1.78%"
"23-06-2019","103.98","103.98","104.42","101.42","71.51M","0.11%"
"16-06-2019","103.87","103.00","104.63","100.87","59.82M","1.00%"
"09-06-2019","102.83","106.33","106.67","100.95","92.74M","-1.70%"
"02-06-2019","104.62","120.97","121.80","102.57","139.86M","-13.06%"
"26-05-2019","120.33","114.33","121.03","113.92","117.30M","5.66%"
"19-05-2019","113.88","113.33","116.93","111.40","37.04M","2.58%"
"12-05-2019","111.02","113.85","118.43","108.90","45.91M","-2.49%"
"05-05-2019","113.85","113.98","118.98","111.02","48.28M","-1.13%"
"28-04-2019","115.15","117.08","118.95","114.13","33.23M","-2.25%"
"21-04-2019","117.80","117.10","118.43","110.57","70.10M","0.41%"
"14-04-2019","117.32","118.83","119.43","116.17","25.59M","-1.35%"
"07-04-2019","118.92","116.67","119.82","112.03","66.46M","2.28%"
"31-03-2019","116.27","117.33","121.62","114.53","59.54M","0.33%"
"24-03-2019","115.88","116.23","121.00","114.33","63.81M","-0.37%"
"17-03-2019","116.32","120.67","122.17","115.77","40.84M","-2.89%"
"10-03-2019","119.78","116.77","120.67","115.65","66.46M","2.77%"
"03-03-2019","116.55","114.33","117.00","113.75","35.69M","1.69%"
"24-02-2019","114.62","108.70","116.43","107.22","117.64M","5.10%"
"17-02-2019","109.05","106.18","112.20","103.58","67.93M","2.96%"
"10-02-2019","105.92","111.43","111.80","102.27","69.35M","-5.53%"
"03-02-2019","112.12","110.38","114.23","108.52","47.69M","0.85%"
"27-01-2019","111.17","111.52","111.78","106.55","91.37M","-0.42%"
"20-01-2019","111.63","107.67","112.50","106.82","54.42M","3.96%"
"13-01-2019","107.38","112.67","112.77","106.83","78.99M","-4.86%"
"06-01-2019","112.87","117.83","119.72","112.40","46.63M","-4.12%"
"30-12-2018","117.72","119.20","121.33","115.65","37.68M","-0.88%"
"23-12-2018","118.77","115.03","121.17","113.28","79.70M","3.26%"
"16-12-2018","115.02","117.10","119.80","114.70","44.23M","-1.77%"
"09-12-2018","117.08","110.93","117.73","109.33","63.16M","4.94%"
"02-12-2018","111.57","113.67","119.93","110.27","76.63M","-2.43%"
"25-11-2018","114.35","115.80","117.82","112.00","94.45M","-0.49%"
"18-11-2018","114.92","114.17","116.67","110.07","57.71M","0.75%"
"11-11-2018","114.07","123.00","124.17","113.75","68.08M","-6.85%"
"04-11-2018","122.45","123.97","127.33","121.40","56.08M","-0.65%"
"28-10-2018","123.25","114.57","125.47","113.23","89.22M","8.32%"
"21-10-2018","113.78","115.88","117.75","111.28","129.54M","-0.86%"
"14-10-2018","114.77","119.63","121.42","113.83","49.33M","-4.17%"
"07-10-2018","119.77","110.02","120.33","109.00","78.36M","8.21%"
"30-09-2018","110.68","127.27","128.92","98.42","105.60M","-12.39%"
"23-09-2018","126.33","130.00","131.02","121.18","103.32M","-2.86%"
"16-09-2018","130.05","123.27","131.52","122.03","69.85M","5.46%"
"09-09-2018","123.32","125.67","127.32","122.60","53.18M","-1.92%"
"02-09-2018","125.73","125.27","126.53","118.05","60.70M","1.34%"
"26-08-2018","124.07","128.05","131.62","120.93","101.27M","-2.22%"
"19-08-2018","126.88","130.03","130.67","125.00","49.95M","-1.82%"
"12-08-2018","129.23","121.32","133.13","121.00","104.79M","6.82%"
"05-08-2018","120.98","130.00","130.67","117.90","60.38M","-6.50%"
"29-07-2018","129.40","126.67","129.93","122.78","53.03M","2.56%"
"22-07-2018","126.17","120.47","126.60","118.47","67.34M","5.20%"
"15-07-2018","119.93","118.93","122.12","116.77","40.10M","0.83%"
"08-07-2018","118.95","114.70","122.00","114.13","64.11M","3.68%"
"01-07-2018","114.73","113.45","118.13","110.88","63.17M","1.16%"
"24-06-2018","113.42","113.90","116.27","105.18","82.40M","0.07%"
"17-06-2018","113.33","111.60","115.18","111.00","70.17M","1.52%"
"10-06-2018","111.63","114.43","115.43","111.08","41.31M","-2.19%"
"03-06-2018","114.13","114.20","115.70","109.38","45.74M","0.31%"
"27-05-2018","113.78","107.50","117.68","107.50","79.57M","6.96%"
"20-05-2018","106.38","107.77","109.78","99.58","85.91M","-0.73%"
"13-05-2018","107.17","114.33","117.15","106.73","76.25M","-6.16%"
"06-05-2018","114.20","110.07","116.20","108.93","55.39M","3.90%"
"29-04-2018","109.92","110.27","111.17","106.68","39.65M","-0.32%"
"22-04-2018","110.27","110.90","113.27","107.00","45.87M","0.08%"
"15-04-2018","110.18","108.67","114.25","107.02","37.01M","1.13%"
"08-04-2018","108.95","111.37","111.85","107.43","35.59M","-2.21%"
"01-04-2018","111.42","110.33","113.00","106.83","40.30M","1.73%"
"25-03-2018","109.52","110.00","110.55","103.03","97.17M","-0.35%"
"18-03-2018","109.90","111.73","112.00","107.40","79.43M","-0.32%"
"11-03-2018","110.25","109.68","115.91","109.50","47.99M","0.94%"
"04-03-2018","109.23","113.00","113.24","108.31","48.74M","-3.82%"
"25-02-2018","113.56","115.00","118.59","112.89","48.18M","-0.91%"
"18-02-2018","114.60","117.50","118.40","113.14","55.51M","-2.11%"
"11-02-2018","117.08","117.00","119.78","114.78","40.70M","1.27%"
"04-02-2018","115.61","115.00","118.00","109.76","63.44M","-0.86%"
"28-01-2018","116.61","123.11","124.70","115.40","70.57M","-5.53%"
"21-01-2018","123.44","117.51","124.75","111.78","118.71M","5.33%"
"14-01-2018","117.19","125.34","125.69","114.91","59.42M","-6.47%"
"07-01-2018","125.29","125.00","126.66","123.13","42.90M","1.37%"
"31-12-2017","123.60","125.70","126.19","122.13","34.54M","-1.05%"
"24-12-2017","124.91","127.03","129.88","124.21","88.38M","-0.69%"
"17-12-2017","125.78","121.98","127.38","118.96","75.85M","3.60%"
"10-12-2017","121.41","121.71","125.70","119.29","93.35M","0.65%"
"03-12-2017","120.63","113.95","124.98","112.45","106.41M","5.86%"
"26-11-2017","113.95","116.63","118.35","112.33","63.83M","-3.24%"
"19-11-2017","117.76","111.00","118.09","110.86","71.46M","5.91%"
"12-11-2017","111.19","114.53","116.00","110.26","83.39M","-2.70%"
"05-11-2017","114.28","115.75","119.41","112.00","63.08M","-1.45%"
"29-10-2017","115.96","117.53","119.84","115.51","53.86M","-1.55%"
"22-10-2017","117.78","108.63","118.98","108.25","108.04M","8.74%"
"15-10-2017","108.31","109.13","111.15","107.81","39.27M","-0.98%"
"08-10-2017","109.38","113.25","114.36","109.00","70.52M","-3.36%"
"01-10-2017","113.18","106.38","114.29","105.50","99.25M","8.04%"
"24-09-2017","104.76","99.75","107.25","96.78","120.73M","5.14%"
"17-09-2017","99.64","100.61","106.59","98.94","98.40M","-0.32%"
"10-09-2017","99.96","96.00","103.75","96.00","116.96M","5.19%"
"03-09-2017","95.03","96.20","96.95","93.83","39.29M","-1.05%"
"27-08-2017","96.04","96.00","97.48","93.05","48.85M","0.30%"
"20-08-2017","95.75","95.48","97.63","93.00","53.06M","0.46%"
"13-08-2017","95.31","93.46","96.18","92.45","37.10M","3.33%"
"06-08-2017","92.24","95.18","97.38","88.94","58.85M","-2.33%"
"30-07-2017","94.44","95.36","96.50","92.03","38.41M","-0.58%"
"23-07-2017","94.99","94.60","96.56","93.05","63.01M","0.79%"
"16-07-2017","94.25","97.00","97.61","93.74","54.59M","-3.42%"
"09-07-2017","97.59","92.25","98.33","89.50","50.74M","8.75%"
"02-07-2017","89.74","90.50","92.24","88.88","32.14M","-0.69%"
"25-06-2017","90.36","89.00","91.88","86.66","45.58M","2.06%"
"18-06-2017","88.54","94.84","95.85","87.75","61.07M","-6.40%"
"11-06-2017","94.59","95.25","96.81","93.25","61.28M","-0.73%"
