Date,Price,Open,High,Low,Vol.,Change %,date
2021-01-31,85.47,82.83,90.17,82.83,139.48M,2.32%,2021-01-31
2021-02-07,88.6,86.6,92.0,86.1,197.60M,3.67%,2021-02-07
2021-02-14,96.93,89.3,99.63,87.9,357.09M,9.41%,2021-02-14
2021-02-21,94.53,96.67,101.87,93.6,222.90M,-2.48%,2021-02-21
2021-02-28,98.1,96.07,100.0,95.0,151.32M,3.77%,2021-02-28
2021-03-07,97.9,98.93,105.3,97.1,180.66M,-0.20%,2021-03-07
2021-03-14,92.33,98.53,98.53,85.87,170.38M,-5.69%,2021-03-14
2021-03-21,87.87,93.33,93.33,84.97,122.84M,-4.84%,2021-03-21
2021-03-28,93.43,89.27,93.97,87.2,183.23M,6.33%,2021-03-28
2021-04-04,92.53,92.67,94.57,89.4,114.90M,-0.96%,2021-04-04
2021-04-11,93.07,89.6,94.93,87.03,91.61M,0.58%,2021-04-11
2021-04-18,86.27,90.0,93.17,85.67,97.77M,-7.31%,2021-04-18
2021-04-25,91.47,87.13,94.3,86.5,83.04M,6.03%,2021-04-25
2021-05-02,100.17,90.73,101.77,89.77,159.01M,9.51%,2021-05-02
2021-05-09,101.8,100.17,110.5,100.17,149.50M,1.63%,2021-05-09
